iter	RMSE
0	25461.3798
1	24793.04927
2	24227.68842
3	23571.80883
4	23006.08481
5	22408.76091
6	21876.61691
7	21386.01228
8	20932.38413
9	20497.3181
10	20071.57952
11	19659.36438
12	19372.76897
13	19098.79863
14	18826.39135
15	18442.65038
16	18091.56799
17	17780.95674
18	17421.60965
19	17116.622
20	16896.09979
21	16686.29533
22	16467.17732
23	16266.0613
24	16019.10874
25	15775.84568
26	15590.36236
27	15421.02207
28	15256.85535
29	15100.01319
30	14853.85926
31	14702.69726
32	14546.53374
33	14409.36263
34	14272.37383
35	14077.78085
36	13943.5151
37	13764.37175
38	13600.08329
39	13451.39811
40	13308.68611
41	13123.47645
42	12997.67121
43	12805.0524
44	12676.28023
45	12557.69745
46	12397.11214
47	12280.60386
48	12144.22137
49	12008.60151
50	11861.18811
51	11743.65261
52	11660.91897
53	11559.76973
54	11441.90899
55	11363.9574
56	11258.78085
57	11166.3255
58	11090.53559
59	11021.45148
60	10931.02676
61	10842.42273
62	10737.83709
63	10633.3716
64	10537.10928
65	10464.53699
66	10408.93915
67	10349.53096
68	10234.19474
69	10157.85396
70	10079.14216
71	10008.29645
72	9944.74439
73	9888.393922
74	9842.636053
75	9806.019976
76	9727.369104
77	9677.245243
78	9622.510313
79	9565.479533
80	9515.645936
81	9477.78384
82	9433.062966
83	9357.072619
84	9291.098265
85	9247.788726
86	9209.710412
87	9155.378764
88	9104.252407
89	9055.816522
90	8990.694978
91	8927.280992
92	8895.104709
93	8834.036283
94	8801.273128
95	8744.77478
96	8713.530801
97	8676.749796
98	8635.42411
99	8604.351724
100	8576.468389
101	8540.198966
102	8515.983064
103	8485.011653
104	8439.214228
105	8410.298457
106	8377.605401
107	8342.534546
108	8320.103981
109	8283.566208
110	8261.420875
111	8216.089737
112	8188.964897
113	8154.837439
114	8127.758594
115	8096.473073
116	8078.243052
117	8056.890265
118	8026.344329
119	7995.198026
120	7974.228689
121	7959.333103
122	7931.682031
123	7897.618355
124	7863.656971
125	7822.370965
126	7800.868452
127	7782.448299
128	7754.9593
129	7719.857619
130	7692.759614
131	7667.320548
132	7649.055742
133	7631.159189
134	7615.837095
135	7585.87102
136	7571.855471
137	7554.00542
138	7524.305334
139	7492.372632
140	7462.375151
141	7439.428188
142	7416.03419
143	7403.34234
144	7387.780719
145	7362.91498
146	7345.523453
147	7328.971419
148	7309.948953
149	7288.948457
150	7270.281322
151	7250.855725
152	7228.394227
153	7206.420623
154	7186.81431
155	7166.125886
156	7150.241365
157	7132.212089
158	7112.609128
159	7086.192248
160	7067.509292
161	7041.16567
162	7028.044532
163	7009.181729
164	6992.014127
165	6979.970717
166	6940.13311
167	6928.363534
168	6919.738848
169	6910.826869
170	6897.195163
171	6870.517666
172	6857.805982
173	6832.122709
174	6822.333919
175	6808.262884
176	6801.084472
177	6787.255545
178	6762.602627
179	6738.981731
180	6726.758514
181	6715.66646
182	6700.935963
183	6686.293057
184	6665.486324
185	6655.326557
186	6640.120033
187	6622.854411
188	6610.908971
189	6587.297555
190	6575.036313
191	6562.582465
192	6548.72967
193	6536.636677
194	6514.605313
195	6505.538057
196	6496.820608
197	6485.698242
198	6466.133124
199	6457.482728
200	6437.229582
201	6417.72022
202	6394.882381
203	6377.460884
204	6357.87375
205	6349.687696
206	6340.368993
207	6320.675915
208	6304.377666
209	6297.664503
210	6284.860968
211	6273.774184
212	6262.077045
213	6244.164032
214	6225.337328
215	6213.798299
216	6208.048406
217	6179.645045
218	6175.587777
219	6163.562479
220	6151.01273
221	6147.92045
222	6144.684964
223	6140.614534
224	6129.891554
225	6122.719923
226	6105.407354
227	6097.044203
228	6094.974226
229	6080.143996
230	6054.431074
231	6050.748876
232	6046.762573
233	6046.26888
234	6042.591479
235	6029.092988
236	6023.4619
237	6014.327
238	6004.65518
239	5989.62146
240	5983.007541
241	5974.13726
242	5969.407707
243	5960.098579
244	5954.190294
245	5937.233785
246	5928.4204
247	5912.496505
248	5905.117085
249	5887.055513
250	5880.654495
251	5877.263001
252	5866.580308
253	5861.246927
254	5850.934945
255	5843.666524
256	5833.839953
257	5827.380723
258	5823.088708
259	5813.978299
260	5811.330503
261	5796.628326
262	5791.718796
263	5782.980662
264	5777.456395
265	5767.969483
266	5745.945716
267	5738.480511
268	5725.53179
