iter	Passed	Remaining
0	51	25626
1	98	24434
2	142	23675
3	186	23137
4	231	22869
5	276	22749
6	319	22529
7	361	22218
8	403	21992
9	446	21878
10	489	21778
11	535	21762
12	577	21629
13	618	21459
14	676	21870
15	723	21890
16	767	21798
17	809	21675
18	851	21565
19	894	21462
20	937	21394
21	983	21361
22	1026	21294
23	1072	21274
24	1119	21267
25	1164	21222
26	1207	21152
27	1250	21085
28	1294	21022
29	1339	20979
30	1386	20972
31	1430	20921
32	1474	20868
33	1516	20778
34	1560	20730
35	1606	20709
36	1652	20679
37	1694	20599
38	1738	20553
39	1782	20495
40	1824	20421
41	1866	20352
42	1908	20284
43	1957	20289
44	2002	20244
45	2048	20222
46	2094	20183
47	2137	20130
48	2188	20144
49	2235	20122
50	2282	20096
51	2329	20071
52	2370	19994
53	2414	19939
54	2463	19935
55	2510	19905
56	2557	19878
57	2654	20229
58	2703	20206
59	2743	20120
60	2786	20055
61	2831	20002
62	2878	19965
63	2927	19942
64	2971	19885
65	3017	19843
66	3063	19796
67	3106	19733
68	3148	19664
69	3190	19601
70	3230	19520
71	3273	19456
72	3315	19393
73	3361	19349
74	3405	19298
75	3449	19244
76	3500	19231
77	3550	19210
78	3601	19191
79	3650	19163
80	3696	19118
81	3742	19076
82	3789	19036
83	3836	18998
84	3880	18946
85	3926	18904
86	3973	18862
87	4017	18809
88	4062	18758
89	4108	18715
90	4154	18671
91	4196	18611
92	4239	18554
93	4285	18510
94	4326	18442
95	4370	18390
96	4417	18353
97	4462	18304
98	4506	18252
99	4550	18200
100	4597	18162
101	4640	18105
102	4679	18037
103	4724	17989
104	4770	17946
105	4814	17896
106	4859	17848
107	4903	17796
108	4947	17745
109	4990	17695
110	5036	17650
111	5079	17597
112	5123	17546
113	5165	17491
114	5207	17433
115	5250	17382
116	5295	17335
117	5336	17275
118	5379	17223
119	5421	17167
120	5464	17115
121	5506	17060
122	5549	17010
123	5591	16955
124	5633	16900
125	5683	16870
126	5727	16822
127	5771	16773
128	5814	16723
129	5859	16676
130	5900	16619
131	5945	16575
132	5990	16531
133	6031	16473
134	6071	16416
135	6114	16365
136	6155	16310
137	6198	16260
138	6242	16212
139	6290	16176
140	6336	16133
141	6379	16084
142	6422	16034
143	6461	15975
144	6503	15923
145	6544	15868
146	6591	15827
147	6633	15775
148	6679	15735
149	6724	15691
150	6766	15638
151	6810	15592
152	6855	15547
153	6900	15504
154	6943	15453
155	6989	15413
156	7034	15367
157	7079	15324
158	7127	15285
159	7169	15235
160	7217	15196
161	7259	15146
162	7300	15092
163	7343	15045
164	7386	14997
165	7431	14953
166	7478	14911
167	7527	14875
168	7567	14822
169	7611	14774
170	7650	14718
171	7691	14668
172	7741	14632
173	7784	14585
174	7829	14541
175	7874	14495
176	7914	14442
177	7960	14400
178	8001	14349
179	8042	14298
180	8087	14254
181	8128	14202
182	8167	14148
183	8211	14102
184	8255	14056
185	8297	14007
186	8338	13956
187	8378	13904
188	8420	13855
189	8465	13811
190	8505	13759
191	8547	13712
192	8589	13662
193	8631	13614
194	8671	13562
195	8714	13516
196	8757	13470
197	8800	13423
198	8838	13368
199	8880	13320
200	8923	13274
201	8967	13229
202	9014	13189
203	9054	13137
204	9095	13088
205	9139	13043
206	9180	12994
207	9228	12955
208	9273	12912
209	9315	12864
210	9358	12817
211	9396	12765
212	9434	12712
213	9473	12660
214	9524	12625
215	9569	12582
216	9619	12545
217	9670	12509
218	9713	12463
219	9758	12419
220	9802	12375
221	9844	12327
222	9889	12283
223	9935	12241
224	9980	12198
225	10022	12151
226	10064	12104
227	10111	12062
228	10154	12016
229	10199	11973
230	10245	11930
231	10290	11886
232	10332	11840
233	10378	11797
234	10423	11754
235	10468	11710
236	10509	11662
237	10553	11617
238	10595	11570
239	10639	11525
240	10686	11484
241	10732	11441
242	10775	11395
243	10820	11352
244	10861	11305
245	10910	11265
246	10952	11218
247	10993	11170
248	11032	11121
249	11078	11078
250	11117	11029
251	11162	10985
252	11201	10936
253	11246	10892
254	11291	10848
255	11334	10803
256	11377	10758
257	11422	10713
258	11467	10670
259	11505	10620
260	11550	10576
261	11590	10528
262	11633	10483
263	11678	10439
264	11717	10390
265	11757	10343
266	11800	10298
267	11845	10254
268	11886	10207
269	11922	10155
270	11965	10110
271	12009	10067
272	12055	10024
273	12097	9978
274	12137	9930
275	12176	9882
276	12213	9832
277	12255	9786
278	12294	9738
279	12336	9693
280	12378	9647
281	12420	9601
282	12467	9559
283	12512	9516
284	12555	9471
285	12598	9427
286	12641	9382
287	12684	9337
288	12724	9290
289	12769	9246
290	12814	9203
291	12858	9159
292	12900	9113
293	12944	9069
294	12986	9024
295	13027	8978
296	13069	8932
297	13110	8887
298	13152	8841
299	13190	8793
300	13238	8752
301	13278	8705
302	13318	8659
303	13364	8616
304	13411	8574
305	13456	8530
306	13502	8488
307	13547	8445
308	13596	8404
309	13640	8360
310	13684	8316
311	13730	8273
312	13771	8227
313	13810	8180
314	13856	8138
315	13898	8092
316	13942	8048
317	13984	8003
318	14029	7960
319	14070	7914
320	14112	7869
321	14157	7826
322	14205	7784
323	14252	7742
324	14294	7697
325	14338	7652
326	14382	7609
327	14424	7564
328	14467	7519
329	14514	7476
330	14558	7432
331	14595	7385
332	14636	7340
333	14682	7297
334	14725	7253
335	14763	7206
336	14805	7161
337	14848	7116
338	14890	7072
339	14931	7026
340	14977	6983
341	15019	6938
342	15062	6894
343	15102	6848
344	15146	6804
345	15191	6761
346	15235	6717
347	15295	6680
348	15347	6640
349	15390	6595
350	15434	6551
351	15476	6507
352	15517	6461
353	15557	6416
354	15599	6371
355	15638	6325
356	15685	6282
357	15730	6239
358	15777	6196
359	15820	6152
360	15861	6107
361	15912	6066
362	15956	6022
363	16004	5979
364	16049	5936
365	16095	5892
366	16140	5849
367	16183	5805
368	16225	5760
369	16270	5716
370	16317	5673
371	16358	5628
372	16403	5585
373	16442	5539
374	16484	5494
375	16528	5450
376	16572	5406
377	16615	5362
378	16658	5318
379	16704	5275
380	16754	5233
381	16799	5189
382	16839	5144
383	16887	5101
384	16929	5056
385	16974	5013
386	17018	4969
387	17066	4926
388	17114	4883
389	17158	4839
390	17195	4793
391	17236	4748
392	17278	4704
393	17321	4660
394	17365	4616
395	17409	4572
396	17453	4528
397	17495	4483
398	17539	4439
399	17586	4396
400	17637	4354
401	17678	4309
402	17717	4264
403	17760	4220
404	17804	4176
405	17848	4132
406	17891	4088
407	17935	4044
408	17985	4001
409	18033	3958
410	18082	3915
411	18127	3871
412	18164	3826
413	18214	3783
414	18257	3739
415	18308	3696
416	18359	3654
417	18410	3611
418	18458	3568
419	18519	3527
420	18567	3484
421	18610	3439
422	18658	3396
423	18700	3352
424	18743	3307
425	18787	3263
426	18830	3219
427	18878	3175
428	18915	3130
429	18958	3086
430	19001	3041
431	19045	2997
432	19091	2954
433	19130	2909
434	19174	2865
435	19218	2821
436	19266	2777
437	19305	2732
438	19350	2688
439	19396	2644
440	19441	2600
441	19479	2556
442	19526	2512
443	19572	2468
444	19616	2424
445	19657	2380
446	19698	2335
447	19745	2291
448	19787	2247
449	19830	2203
450	19872	2159
451	19912	2114
452	19957	2070
453	20004	2026
454	20054	1983
455	20098	1939
456	20134	1894
457	20187	1851
458	20236	1807
459	20285	1763
460	20335	1720
461	20385	1676
462	20434	1632
463	20476	1588
464	20531	1545
465	20579	1501
466	20627	1457
467	20682	1414
468	20727	1370
469	20773	1325
470	20822	1282
471	20865	1237
472	20911	1193
473	20954	1149
474	21000	1105
475	21045	1061
476	21089	1016
477	21135	972
478	21186	928
479	21228	884
480	21274	840
481	21315	796
482	21360	751
483	21406	707
484	21452	663
485	21499	619
486	21551	575
487	21599	531
488	21640	486
489	21684	442
490	21733	398
491	21777	354
492	21823	309
493	21868	265
494	21913	221
495	21961	177
496	22018	132
497	22066	88
498	22123	44
499	22179	0
